00:00.578  blend            | Read blend: "D:\Users\yaoni\Desktop\zhihu-hackathon\art\blender\characters\shen-qingwu\v048_rigged.blend"
INFO Draco is available, use library at D:\5.2\scripts\addons_core\io_scene_gltf2\bf_intern_draco_bridge.dll
INFO MeshOptimizer is available, use library at D:\5.2\scripts\addons_core\io_scene_gltf2\bf_intern_meshopt_bridge.dll
22:33:57 | INFO: Starting glTF 2.0 export
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Ankle_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Ankle_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_BackBelt_Button_1_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_BackBelt_Button_-1_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Badge_Card_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Badge_Case_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Badge_Clip_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Badge_Label_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Badge_Photo_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Badge_PhotoHead_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Bag_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Bag_Buckle_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Bag_Flap_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Bag_ShoulderStrap_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Bag_Stitch_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Belt_Buckle_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Body_Pelvis_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Body_Torso_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Brow_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Brow_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Geometry
22:33:57 | INFO: Primitives created: 2
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_BackBelt_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Button_1_0_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Button_1_1_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Button_1_2_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Button_-1_0_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Button_-1_1_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Button_-1_2_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Edge_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Edge_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Lapel_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Lapel_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Pocket_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Coat_Pocket_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Cuff_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Cuff_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Document_0_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Document_1_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Ear_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Ear_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_EarConcha_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_EarConcha_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_EarTragus_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_EarTragus_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_EyeBall_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_EyeBall_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Face_IntegratedSockets.001
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Hair_BackClump_00_Geometry
22:33:57 | INFO: Primitives created: 2
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Hair_FrontBang_00_Geometry
22:33:57 | INFO: Primitives created: 2
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Hair_BaseCap_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Hair_SideLock_00_Geometry
22:33:57 | INFO: Primitives created: 2
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Hand_Palm_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Hand_Palm_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Iris_L_Geometry
22:33:57 | INFO: Primitives created: 4
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Iris_R_Geometry
22:33:57 | INFO: Primitives created: 4
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Lanyard_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Lips_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_LowerLash_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_LowerLash_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_MouthCavity_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Neck_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_NoseBridge_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_NoseTip_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Nostril_1_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Nostril_-1_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Notebook_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Notebook_Cover_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Notebook_GoldRule_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Notebook_Pages_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Notebook_Spiral_0_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Pants_Cuff_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Pants_Cuff_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Pants_L_Geometry
